firstCol,numInsecure,total,proportion,year
Never Married,2861.0,19979.0,14.320036037839700,2020
Separated,232.0,992.0,23.387096774193500,2020
Divorced,1048.0,7170.0,14.616457461645700,2020
Widowed,404.0,4304.0,9.386617100371750,2020
Married - Spouse Absent,100.0,778.0,12.853470437018000,2020
Married - Spouse Present,2056.0,33828.0,6.077805368333930,2020
Never Married,2674.0,19208.0,13.92128279883380,2019
Separated,245.0,985.0,24.873096446700500,2019
Divorced,1124.0,7358.0,15.275890187551000,2019
Widowed,461.0,4511.0,10.21946353358460,2019
Married - Spouse Absent,104.0,844.0,12.322274881516600,2019
Married - Spouse Present,1854.0,34080.0,5.440140845070420,2019
Never Married,2294.0,17710.0,12.953133822699000,2021
Separated,199.0,934.0,21.306209850107100,2021
Divorced,869.0,6069.0,14.31866864392820,2021
Widowed,366.0,3878.0,9.437854564208350,2021
Married - Spouse Absent,102.0,722.0,14.127423822714700,2021
Married - Spouse Present,1682.0,29570.0,5.688197497463650,2021
